
D  100	WGS 84
GPS 12   2.01 
T  N51 14.3291 W001 03.2825 Thu Aug 14 13:29:49 1997
T  N51 14.7507 W001 03.2356 Thu Aug 14 13:30:09 1997
T  N51 15.1132 W001 03.0971 Thu Aug 14 13:30:30 1997
T  N51 15.5744 W001 03.1535 Thu Aug 14 13:30:51 1997
T  N51 16.0060 W001 03.2024 Thu Aug 14 13:31:11 1997
T  N51 16.4251 W001 03.1995 Thu Aug 14 13:31:32 1997
T  N51 16.8239 W001 03.2108 Thu Aug 14 13:31:52 1997
T  N51 17.0585 W001 03.3791 Thu Aug 14 13:32:12 1997
T  N51 17.0498 W001 03.1374 Thu Aug 14 13:32:32 1997
T  N51 16.9768 W001 03.1338 Thu Aug 14 13:32:53 1997
T  N51 16.9954 W001 03.1908 Thu Aug 14 13:33:14 1997
T  N51 17.1557 W001 03.1982 Thu Aug 14 13:33:34 1997
T  N51 16.9639 W001 03.0447 Thu Aug 14 13:33:54 1997
T  N51 16.9520 W001 03.1020 Thu Aug 14 13:34:15 1997
T  N51 17.0118 W001 03.1734 Thu Aug 14 13:34:36 1997
T  N51 17.0437 W001 03.0592 Thu Aug 14 13:34:57 1997
T  N51 17.0109 W001 02.8387 Thu Aug 14 13:35:18 1997
T  N51 17.3694 W001 02.9600 Thu Aug 14 13:35:39 1997
T  N51 17.8390 W001 03.0099 Thu Aug 14 13:35:59 1997
T  N51 18.3415 W001 03.0559 Thu Aug 14 13:36:20 1997
T  N51 18.8223 W001 03.1239 Thu Aug 14 13:36:41 1997
T  N51 19.1754 W001 03.1931 Thu Aug 14 13:37:01 1997
T  N51 19.6009 W001 03.2867 Thu Aug 14 13:37:22 1997
T  N51 20.1349 W001 03.4332 Thu Aug 14 13:37:43 1997
T  N51 20.5672 W001 03.5487 Thu Aug 14 13:38:03 1997
T  N51 21.0451 W001 03.6974 Thu Aug 14 13:38:24 1997
T  N51 21.3908 W001 03.7389 Thu Aug 14 13:38:44 1997
T  N51 21.7552 W001 03.7698 Thu Aug 14 13:39:05 1997
T  N51 22.1034 W001 04.1538 Thu Aug 14 13:39:26 1997
T  N51 22.4143 W001 04.6492 Thu Aug 14 13:39:47 1997
T  N51 22.7098 W001 05.0850 Thu Aug 14 13:40:07 1997
T  N51 22.9589 W001 05.4204 Thu Aug 14 13:40:27 1997
T  N51 23.2032 W001 05.8285 Thu Aug 14 13:40:48 1997
T  N51 23.4559 W001 06.3415 Thu Aug 14 13:41:08 1997
T  N51 23.7932 W001 06.8205 Thu Aug 14 13:41:29 1997
T  N51 24.1099 W001 07.2148 Thu Aug 14 13:41:49 1997
T  N51 24.1038 W001 07.7610 Thu Aug 14 13:42:09 1997
T  N51 24.0896 W001 07.4990 Thu Aug 14 13:42:29 1997
T  N51 24.1659 W001 07.6409 Thu Aug 14 13:42:50 1997
T  N51 24.0520 W001 07.6853 Thu Aug 14 13:43:11 1997
T  N51 24.2715 W001 08.0452 Thu Aug 14 13:43:31 1997
T  N51 24.7189 W001 08.1067 Thu Aug 14 13:43:51 1997
T  N51 25.0668 W001 08.1215 Thu Aug 14 13:44:11 1997
T  N51 24.9194 W001 07.9261 Thu Aug 14 13:44:32 1997
T  N51 25.0511 W001 08.0935 Thu Aug 14 13:44:53 1997
T  N51 25.0488 W001 07.6696 Thu Aug 14 13:45:14 1997
T  N51 25.0189 W001 07.9679 Thu Aug 14 13:45:34 1997
T  N51 25.1470 W001 07.6206 Thu Aug 14 13:45:55 1997
T  N51 25.5071 W001 07.7581 Thu Aug 14 13:46:15 1997
T  N51 25.9687 W001 07.9834 Thu Aug 14 13:46:36 1997
T  N51 26.3945 W001 08.1955 Thu Aug 14 13:46:56 1997
T  N51 26.8178 W001 08.3577 Thu Aug 14 13:47:16 1997
T  N51 27.2442 W001 08.5573 Thu Aug 14 13:47:36 1997
T  N51 27.6527 W001 08.7623 Thu Aug 14 13:47:56 1997
T  N51 28.0914 W001 08.9612 Thu Aug 14 13:48:17 1997
T  N51 28.4979 W001 09.1019 Thu Aug 14 13:48:37 1997
T  N51 28.8693 W001 09.2538 Thu Aug 14 13:48:57 1997
T  N51 29.2182 W001 09.5142 Thu Aug 14 13:49:17 1997
T  N51 29.6238 W001 09.6490 Thu Aug 14 13:49:38 1997
T  N51 29.6315 W001 09.3806 Thu Aug 14 13:49:58 1997
T  N51 29.7564 W001 09.4607 Thu Aug 14 13:50:19 1997
T  N51 29.7271 W001 09.5161 Thu Aug 14 13:50:39 1997
T  N51 29.5939 W001 09.3764 Thu Aug 14 13:50:59 1997
T  N51 29.6689 W001 09.2190 Thu Aug 14 13:51:19 1997
T  N51 29.6618 W001 09.2844 Thu Aug 14 13:51:40 1997
T  N51 29.6483 W001 09.2438 Thu Aug 14 13:52:01 1997
T  N51 29.5974 W001 09.2181 Thu Aug 14 13:52:21 1997
